provider_number,year,state,state_name,uncomp_care,uncomp_care_m,expand_year,expand_ever,expanded,date_adopted,post,treat,time_to_treat,time_to_treat_bin
010039,2013,AL,Alabama,53106610.0,53.10661,,0,0,,0,0,0,0
010039,2014,AL,Alabama,49887778.0,49.887778,,0,0,,1,0,0,0
010039,2015,AL,Alabama,49967015.0,49.967015,,0,0,,1,0,0,0
010039,2016,AL,Alabama,54220455.0,54.220455,,0,0,,1,0,0,0
010039,2017,AL,Alabama,58050647.0,58.050647,,0,0,,1,0,0,0
010039,2018,AL,Alabama,73794549.0,73.794549,,0,0,,1,0,0,0
010040,2011,AL,Alabama,1670854.0,1.670854,,0,0,,0,0,0,0
010040,2012,AL,Alabama,9242665.0,9.242665,,0,0,,0,0,0,0
010040,2013,AL,Alabama,9596824.0,9.596824,,0,0,,0,0,0,0
010040,2014,AL,Alabama,9580866.0,9.580866,,0,0,,1,0,0,0
010040,2015,AL,Alabama,8452796.0,8.452796,,0,0,,1,0,0,0
010040,2016,AL,Alabama,14219193.0,14.219193,,0,0,,1,0,0,0
010040,2017,AL,Alabama,11820143.0,11.820143,,0,0,,1,0,0,0
010040,2018,AL,Alabama,13444779.0,13.444779,,0,0,,1,0,0,0
010043,2012,AL,Alabama,1304902.0,1.304902,,0,0,,0,0,0,0
010044,2011,AL,Alabama,1080182.0,1.080182,,0,0,,0,0,0,0
010044,2012,AL,Alabama,2224965.0,2.224965,,0,0,,0,0,0,0
010044,2013,AL,Alabama,1598838.0,1.598838,,0,0,,0,0,0,0
010044,2014,AL,Alabama,1975072.0,1.975072,,0,0,,1,0,0,0
010044,2015,AL,Alabama,268511.0,0.268511,,0,0,,1,0,0,0
010044,2016,AL,Alabama,1694807.0,1.694807,,0,0,,1,0,0,0
010044,2017,AL,Alabama,1912497.0,1.912497,,0,0,,1,0,0,0
010044,2018,AL,Alabama,2023122.0,2.023122,,0,0,,1,0,0,0
010045,2011,AL,Alabama,498450.0,0.49845,,0,0,,0,0,0,0
010045,2012,AL,Alabama,1871392.0,1.871392,,0,0,,0,0,0,0
010045,2013,AL,Alabama,2394883.0,2.394883,,0,0,,0,0,0,0
010045,2014,AL,Alabama,1823070.0,1.82307,,0,0,,1,0,0,0
010045,2015,AL,Alabama,1439049.0,1.439049,,0,0,,1,0,0,0
010045,2016,AL,Alabama,2013516.0,2.013516,,0,0,,1,0,0,0
010045,2017,AL,Alabama,1948071.0,1.948071,,0,0,,1,0,0,0
010045,2018,AL,Alabama,2187607.0,2.187607,,0,0,,1,0,0,0
010046,2012,AL,Alabama,4558852.0,4.558852,,0,0,,0,0,0,0
010046,2013,AL,Alabama,5743117.0,5.743117,,0,0,,0,0,0,0
010046,2014,AL,Alabama,4414891.0,4.414891,,0,0,,1,0,0,0
010046,2015,AL,Alabama,3836803.0,3.836803,,0,0,,1,0,0,0
010046,2016,AL,Alabama,68515.0,0.068515,,0,0,,1,0,0,0
010046,2017,AL,Alabama,9932589.0,9.932589,,0,0,,1,0,0,0
010046,2018,AL,Alabama,2110216.0,2.110216,,0,0,,1,0,0,0
010047,2012,AL,Alabama,398899.0,0.398899,,0,0,,0,0,0,0
010047,2013,AL,Alabama,910675.0,0.910675,,0,0,,0,0,0,0
010047,2014,AL,Alabama,751067.0,0.751067,,0,0,,1,0,0,0
010047,2015,AL,Alabama,865517.0,0.865517,,0,0,,1,0,0,0
010047,2016,AL,Alabama,1019089.0,1.019089,,0,0,,1,0,0,0
010047,2017,AL,Alabama,302210.0,0.30221,,0,0,,1,0,0,0
010047,2018,AL,Alabama,548207.0,0.548207,,0,0,,1,0,0,0
010049,2011,AL,Alabama,2061464.0,2.061464,,0,0,,0,0,0,0
010049,2012,AL,Alabama,1314161.0,1.314161,,0,0,,0,0,0,0
010049,2013,AL,Alabama,1815962.0,1.815962,,0,0,,0,0,0,0
010049,2014,AL,Alabama,1750347.0,1.750347,,0,0,,1,0,0,0
010049,2015,AL,Alabama,1502331.0,1.502331,,0,0,,1,0,0,0
010049,2016,AL,Alabama,3057104.0,3.057104,,0,0,,1,0,0,0
010049,2017,AL,Alabama,3129984.0,3.129984,,0,0,,1,0,0,0
010049,2018,AL,Alabama,3487739.0,3.487739,,0,0,,1,0,0,0
010050,2012,AL,Alabama,835480.0,0.83548,,0,0,,0,0,0,0
010050,2013,AL,Alabama,1590620.0,1.59062,,0,0,,0,0,0,0
010051,2011,AL,Alabama,48497.0,0.048497,,0,0,,0,0,0,0
010051,2012,AL,Alabama,1204245.0,1.204245,,0,0,,0,0,0,0
010051,2013,AL,Alabama,1157006.0,1.157006,,0,0,,0,0,0,0
010051,2014,AL,Alabama,1416696.0,1.416696,,0,0,,1,0,0,0
010051,2015,AL,Alabama,1336613.0,1.336613,,0,0,,1,0,0,0
010051,2016,AL,Alabama,752315.0,0.752315,,0,0,,1,0,0,0
010051,2017,AL,Alabama,619498.0,0.619498,,0,0,,1,0,0,0
010051,2018,AL,Alabama,481022.0,0.481022,,0,0,,1,0,0,0
